#{"t_start": 1769628132.3015664, "env_id": "None"}
r,l,t
-0.196746,100,1.727178
-0.41815,100,1.885531
-0.356436,100,2.098004
-0.443717,100,2.178504
-0.421734,100,2.260302
-0.983351,100,2.40285
-0.14163,100,2.5604
-0.53217,100,2.690296
-0.271162,100,2.827124
-0.270997,100,2.908614
-0.243946,100,3.051717
-0.770027,100,3.241504
-0.381027,100,3.322808
-0.462761,100,3.469884
-0.319076,100,3.617473
-0.486071,100,3.756719
-0.478349,100,3.89957
-0.745863,100,4.043743
-0.364454,100,4.155695
-0.093671,100,5.431961
-0.293099,100,8.537319
-0.510828,100,8.738654
-0.247434,100,8.811621
-0.847307,100,8.906175
-0.909917,100,9.055382
-0.606331,100,9.175893
-0.639077,100,9.29676
-0.511332,100,9.449744
-0.727436,100,9.587971
-0.1749,100,9.812245
-0.808967,100,9.898112
-0.721307,100,10.038089
-0.42426,100,10.159552
-0.414784,100,10.29691
-0.286725,100,10.461436
-0.617661,100,10.595744
-0.612497,100,10.7036
-1.295886,100,10.929766
-0.63459,100,11.045977
-0.301148,100,11.188098
-1.387058,100,14.037658
-0.380056,100,14.132973
-0.461024,100,14.330367
-0.150806,100,14.436011
-0.331882,100,14.548835
-0.469125,100,14.678303
-0.36708,100,14.768917
-0.401864,100,14.882083
-0.366514,100,14.983725
-0.37093,100,15.08975
-0.378598,100,15.233755
-0.465418,100,15.445504
-0.725648,100,15.540717
-0.681085,100,15.652255
-0.290671,100,15.759582
-0.502318,100,15.860893
-0.210479,100,15.962267
-0.200307,100,16.066029
-0.374455,100,16.169236
-1.235902,100,16.266406
-0.487038,100,16.398706
-0.256086,100,19.483992
-0.492095,100,19.638188
-0.227453,100,19.76188
-0.25415,100,19.95573
-0.261352,100,20.079809
-0.417993,100,20.176413
-0.463037,100,20.331902
-0.71071,100,20.477228
-0.50888,100,20.61353
-0.545071,100,20.752311
-0.205426,100,20.849286
-0.296225,100,21.056101
-1.189135,100,21.161778
-0.364097,100,21.330022
-0.315927,100,21.48455
-0.207733,100,21.616485
-0.624076,100,21.755987
-0.382759,100,21.844378
-0.435596,100,21.985224
-0.244917,100,22.176887
-0.491656,100,25.340392
-0.196521,100,25.524061
-0.329005,100,25.639554
-0.262263,100,25.764428
-0.208739,100,25.874208
-0.458829,100,25.979989
-0.519204,100,26.098422
-0.294333,100,26.201799
-0.577774,100,26.30299
-0.181885,100,26.434809
-0.315804,100,26.630732
-0.303593,100,26.741898
-0.172599,100,26.85748
-0.210815,100,26.962048
-0.636547,100,27.085478
-0.173186,100,27.242411
-0.190666,100,27.366313
-0.359162,100,27.486683
-0.182481,100,27.695166
-0.174615,100,27.775953
-0.339295,100,27.88079
-0.245471,100,31.168349
-0.26459,100,31.322378
-0.247518,100,31.467424
-0.425875,100,31.608991
-0.191566,100,31.732897
-0.320518,100,31.832306
-0.284652,100,31.956104
-0.397119,100,32.13392
-0.167114,100,32.235395
-0.145591,100,32.350412
-0.156385,100,32.497961
-0.314201,100,32.600202
-0.208107,100,32.731173
-0.208553,100,32.849354
-0.364873,100,32.953074
-0.355507,100,33.092187
-0.129139,100,33.288388
-0.226032,100,33.398049
-0.371933,100,33.514856
-0.374252,100,33.645564
-0.096412,100,36.753348
-0.14614,100,36.89138
-0.196534,100,37.036877
-0.211444,100,37.197746
-0.284728,100,37.335534
-0.266046,100,37.486554
-0.220225,100,37.702471
-0.207145,100,37.806816
-0.08596,100,37.948258
-0.112476,100,38.089835
-0.165371,100,38.249371
-0.433718,100,38.404672
-0.125521,100,38.548737
-0.115053,100,38.781396
-0.140514,100,38.876076
-0.307188,100,38.997558
-0.223883,100,39.155986
-0.079562,100,39.277057
-0.341353,100,39.426159
-0.220421,100,39.577398
-0.111611,100,39.690601
-0.128417,100,42.829233
-0.144739,100,42.927554
-0.096785,100,43.037332
-0.122863,100,43.232675
-0.155924,100,43.341657
-0.109064,100,43.47828
-0.100959,100,43.587063
-0.121445,100,43.692542
-0.115407,100,43.790256
-0.214686,100,43.892922
-0.121122,100,44.013144
-0.088956,100,44.150464
-0.101625,100,44.35792
-0.173757,100,44.449498
-0.107794,100,44.546907
-0.146912,100,44.67491
-0.194462,100,44.793725
-0.128468,100,44.917631
-0.17006,100,45.05349
-0.123952,100,45.193001
-0.209737,100,48.260048
-0.131409,100,48.385926
-0.087898,100,48.489396
-0.146767,100,48.616779
-0.115314,100,48.721385
-0.1805,100,48.903097
-0.197437,100,49.087121
-0.121133,100,49.196162
-0.137598,100,49.320766
-0.173902,100,49.421152
-0.23879,100,49.520758
-0.341005,100,49.63365
-0.119435,100,49.790926
-0.102688,100,50.002055
-0.177572,100,50.12968
-0.094132,100,50.291448
-0.13185,100,50.421415
-0.129524,100,50.525987
-0.1094,100,50.635459
-0.175029,100,50.759351
-0.148431,100,50.909228
-0.112702,100,53.949409
-0.08008,100,54.047364
-0.115478,100,54.161893
-0.096123,100,54.275021
-0.083048,100,54.471424
-0.087885,100,54.576874
-0.061288,100,54.687911
-0.116675,100,54.806406
-0.11206,100,54.935732
-0.113386,100,55.055578
-0.114448,100,55.194044
-0.121442,100,55.333198
-0.130959,100,55.550524
-0.090654,100,55.643706
-0.142532,100,55.801839
-0.092932,100,55.935041
-0.077365,100,56.054445
-0.077871,100,56.149834
-0.128397,100,56.252009
-0.100872,100,56.373462
-0.136506,100,59.390181
-0.1527,100,59.519106
-0.089609,100,59.631774
-0.156201,100,59.776423
-0.081708,100,59.900122
-0.056652,100,60.056299
-0.093835,100,60.202659
-0.102991,100,60.327763
-0.073519,100,60.450469
-0.061651,100,60.574022
-0.084341,100,60.686023
-0.08964,100,60.836419
-0.104938,100,61.068548
-0.113111,100,61.196345
-0.134838,100,61.313789
-0.068844,100,61.451454
-0.087005,100,61.567844
-0.114506,100,61.662865
-0.116757,100,61.79392
-0.075873,100,61.926768
-0.090483,100,62.0388
-0.086105,100,64.745107
-0.085047,100,64.872667
-0.063647,100,64.986592
-0.082493,100,65.090083
-0.091561,100,65.204288
-0.06273,100,65.304518
-0.074957,100,65.433837
-0.105396,100,65.637435
-0.070375,100,65.763804
-0.102023,100,65.883791
-0.064177,100,65.980342
-0.102934,100,66.113346
-0.090555,100,66.210089
-0.076556,100,66.323679
-0.093461,100,66.43469
-0.079312,100,66.529508
-0.081119,100,66.741822
-0.075136,100,66.833248
-0.079621,100,66.927525
-0.092892,100,67.035025
-0.05732,100,69.842897
-0.086614,100,69.937259
-0.052779,100,70.125999
-0.075326,100,70.217061
-0.08886,100,70.318731
-0.057817,100,70.429343
-0.04183,100,70.54815
-0.071868,100,70.638614
-0.058629,100,70.734841
-0.077469,100,70.842934
-0.058277,100,70.960263
-0.077913,100,71.161145
-0.074231,100,71.251174
-0.088248,100,71.360833
-0.045002,100,71.483078
-0.059273,100,71.616991
-0.065546,100,71.741342
-0.048789,100,71.853097
-0.041529,100,71.952583
-0.087931,100,72.068021
-0.079407,100,72.273731
-0.033189,100,75.354034
-0.027773,100,75.464105
-0.065122,100,75.659523
-0.061765,100,75.804374
-0.062801,100,75.929741
-0.069408,100,76.030352
-0.049889,100,76.128822
-0.049173,100,76.229956
-0.038059,100,76.35426
-0.066747,100,76.45566
-0.04636,100,76.582029
-0.04644,100,76.7654
-0.058833,100,76.875373
-0.052975,100,77.0058
-0.057562,100,77.111452
-0.048305,100,77.238499
-0.061065,100,77.345528
-0.052196,100,77.451156
-0.05648,100,77.561798
-0.065169,100,77.664749
-0.06529,100,80.716631
-0.048726,100,80.822588
-0.04103,100,80.919314
-0.036418,100,81.020855
-0.047803,100,81.219485
-0.056948,100,81.317395
-0.048812,100,81.414921
-0.075455,100,81.511265
-0.051219,100,81.627043
-0.093131,100,81.731577
-0.037573,100,81.892475
-0.041993,100,81.986578
-0.038786,100,82.087155
-0.041443,100,82.166932
-0.063149,100,82.353607
-0.053057,100,82.465672
-0.046758,100,82.579319
-0.038571,100,82.684603
-0.027449,100,82.813216
-0.031299,100,82.925196
-0.03536,100,83.042803
-0.046914,100,86.092017
-0.04824,100,86.212819
-0.050442,100,86.323806
-0.033173,100,86.417291
-0.02681,100,86.513046
-0.028775,100,86.607759
-0.056549,100,86.807585
-0.043051,100,86.916307
-0.025687,100,87.018541
-0.036648,100,87.131833
-0.055399,100,87.254361
-0.04133,100,87.359606
-0.036735,100,87.500222
-0.035595,100,87.625685
-0.04645,100,87.75278
-0.055516,100,87.960363
-0.031215,100,88.057194
-0.059634,100,88.152539
-0.057942,100,88.254668
-0.04995,100,88.365433
-0.042012,100,91.639802
-0.035157,100,91.739204
-0.04512,100,91.845865
-0.033303,100,91.966835
-0.024808,100,92.09394
-0.029972,100,92.194407
-0.045331,100,92.389546
-0.03816,100,92.485261
-0.031539,100,92.59433
-0.04587,100,92.698715
-0.034102,100,92.804761
-0.044148,100,92.926018
-0.031665,100,93.056241
-0.029157,100,93.164544
-0.048517,100,93.274348
-0.038099,100,93.387042
-0.043678,100,93.583824
-0.039453,100,93.679317
-0.031594,100,93.775248
-0.036079,100,93.89575
-0.040911,100,93.999984
-0.038208,100,96.990203
-0.02434,100,97.087507
-0.023556,100,97.213226
-0.022512,100,97.339036
-0.036699,100,97.444999
-0.040816,100,97.56072
-0.026095,100,97.645651
-0.032932,100,97.730338
-0.032007,100,97.848061
-0.027797,100,98.044895
-0.037414,100,98.156461
-0.016857,100,98.28744
-0.040405,100,98.389659
-0.011004,100,98.492493
-0.023253,100,98.607532
-0.040893,100,98.697196
-0.036137,100,98.825198
-0.050939,100,98.9242
-0.024178,100,99.133758
-0.042656,100,99.221443
-0.025616,100,102.02437
-0.022123,100,102.137534
-0.030368,100,102.269941
-0.026175,100,102.353366
-0.010506,100,102.527181
