time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
1,2048,513,3,-0.41906689999999996,100.0,,,,,,,,,,
2,4096,416,9,-0.49917059999999996,100.0,0.5525697469711304,0.1974609375,0.007346325553953648,0.013274909,0.2,10,-0.022577745099260936,0.0003,-1.0873957850039004,0.003009828308131546
3,6144,408,15,-0.4951652786885245,100.0,-0.8407161235809326,0.052294921875,-0.013655760325491428,0.008393648,0.2,20,-0.003460444847587496,0.0003,-1.0948689375072718,0.002616521916206693
4,8192,394,20,-0.47663950617283946,100.0,0.004738569259643555,0.137353515625,-0.026787299662828445,0.01109417,0.2,30,-0.011436354526085778,0.0003,-1.0915549375116824,0.0018094820365149645
5,10240,387,26,-0.44571876000000005,100.0,-0.1730138063430786,0.072412109375,-0.04816765338182449,0.00984058,0.2,40,-0.009132185785711044,0.0003,-1.0864880688488483,0.0019881766085745765
6,12288,380,32,-0.41400503,100.0,0.3379351496696472,0.19541015625,-0.05679040774703026,0.0134353135,0.2,50,-0.024192028924881016,0.0003,-1.0810956787317991,0.0009359917190522538
7,14336,375,38,-0.32482111,100.0,0.10257589817047119,0.0791015625,-0.019834168255329132,0.008540595,0.2,60,-0.01370523130899528,0.0003,-1.0678279459476472,0.000534902549952676
8,16384,374,43,-0.26391207,100.0,0.22880232334136963,0.230908203125,-0.021976035088300705,0.013001124,0.2,70,-0.027788261344539933,0.0003,-1.0627550229430198,0.00026238988571094526
9,18432,371,49,-0.20989038999999998,100.0,0.579020619392395,0.214404296875,-0.017643673345446587,0.015821967,0.2,80,-0.021631872516445584,0.0003,-1.0440568774938583,0.00011941573999365573
10,20480,372,54,-0.16973384999999996,100.0,0.36643314361572266,0.224658203125,0.02695242501795292,0.013554493,0.2,90,-0.024932285321119706,0.0003,-1.020097134821117,0.00017749148405528105
11,22528,371,60,-0.13731072,100.0,0.5120769739151001,0.119970703125,0.004761418327689171,0.012239398,0.2,100,-0.016138907393906266,0.0003,-0.9893245110288262,5.069457760100704e-05
12,24576,374,65,-0.11465794000000001,100.0,0.6256183385848999,0.08720703125,-0.03550765663385391,0.008654612,0.2,110,-0.012115885432285723,0.0003,-0.9824882877990604,5.2681249900388136e-05
13,26624,376,70,-0.10037166999999998,100.0,0.6363672018051147,0.117919921875,5.23608014191268e-06,0.010858952,0.2,120,-0.019167587423726217,0.0003,-0.9580951476469636,2.6407833101416144e-05
14,28672,375,76,-0.08073188999999999,100.0,0.5907926559448242,0.061279296875,-0.010416916571557522,0.011495245,0.2,130,-0.010778497804130894,0.0003,-0.9070005966350436,3.101223105659301e-05
15,30720,376,81,-0.06851229,100.0,0.3744125962257385,0.056982421875,-0.04935397207736969,0.0066493317,0.2,140,-0.007914282708952669,0.0003,-0.8727291606366634,2.3340806231431087e-05
16,32768,376,86,-0.05839238999999999,100.0,0.2306172251701355,0.07939453125,-0.010892522521317005,0.010510225,0.2,150,-0.013380128213611897,0.0003,-0.8476131601259113,2.012389257686209e-05
17,34816,376,92,-0.049422560000000004,100.0,0.3855404853820801,0.05849609375,-0.008931271731853485,0.008574739,0.2,160,-0.011893859639531,0.0003,-0.7954930420964956,2.0009217536198776e-05
18,36864,376,97,-0.043120469999999994,100.0,0.34887540340423584,0.052001953125,-0.03632426634430885,0.006620908,0.2,170,-0.005777729568944778,0.0003,-0.7522125819697976,1.2208234994659507e-05
19,38912,378,102,-0.03668935000000001,100.0,0.18391072750091553,0.11318359375,-0.0060065439902246,0.0066877687,0.2,180,-0.013474429756752216,0.0003,-0.6633411686867475,1.704032620466478e-05
20,40960,378,108,-0.030761949999999996,100.0,0.3196808099746704,0.04267578125,-0.048312507569789886,0.0061227,0.2,190,-0.009891077947395388,0.0003,-0.6217317132279276,5.114252128777252e-05
21,43008,378,113,-0.025751860000000005,100.0,0.3313421607017517,0.060546875,-0.003971475642174482,0.004654779,0.2,200,-0.008006095308519433,0.0003,-0.5334553865715861,1.8295323347672365e-05
22,45056,378,119,-0.021053950000000002,100.0,0.21869152784347534,0.064111328125,-0.012592603452503681,0.0051328847,0.2,210,-0.00852916716976324,0.0003,-0.4803459237329662,1.3107173464277366e-05
23,47104,377,124,-0.01734701,100.0,-0.0007328987121582031,0.047900390625,-0.018113311380147934,0.0035247505,0.2,220,-0.006313377946207765,0.0003,-0.41374272769317033,1.009260501945164e-05
24,49152,371,132,-0.014566040000000002,100.0,-0.020206570625305176,0.0470703125,-0.0032752170227468014,0.003923644,0.2,230,-0.008986331264895852,0.0003,-0.3661101137287915,2.1491818299779196e-05
25,51200,372,137,-0.012170029999999998,100.0,-0.019009947776794434,0.03681640625,-0.01878313720226288,0.003523066,0.2,240,-0.007196615357679547,0.0003,-0.3049296621233225,6.212192124692706e-05
